id	abuse
86426	NOTABU
90194	NOTABU
16820	NOTABU
62688	NOTABU
43605	NOTABU
97670	EXP
77444	NOTABU
52415	IMP
45157	NOTABU
13384	EXP
82776	NOTABU
42992	NOTABU
28414	EXP
54920	NOTABU
56392	NOTABU
86735	NOTABU
95686	NOTABU
71446	NOTABU
23958	NOTABU
28195	NOTABU
56117	EXP
67757	NOTABU
12681	IMP
82904	NOTABU
63236	NOTABU
77665	EXP
83484	NOTABU
74932	NOTABU
91252	NOTABU
25440	IMP
81613	NOTABU
82333	NOTABU
12609	EXP
13017	NOTABU
18129	NOTABU
70380	NOTABU
12108	EXP
14726	EXP
74358	NOTABU
82599	NOTABU
40212	NOTABU
78367	NOTABU
66596	NOTABU
70999	NOTABU
36026	NOTABU
29439	NOTABU
74477	NOTABU
49845	NOTABU
32305	NOTABU
77243	NOTABU
73205	NOTABU
47311	NOTABU
48553	NOTABU
75689	NOTABU
84102	IMP
10607	NOTABU
43913	NOTABU
98992	EXP
92056	NOTABU
33853	IMP
75215	EXP
96218	NOTABU
57013	EXP
20883	NOTABU
74831	NOTABU
53264	EXP
28204	NOTABU
42024	NOTABU
84664	IMP
54842	NOTABU
48995	NOTABU
47153	EXP
76826	NOTABU
27645	NOTABU
64429	NOTABU
20943	NOTABU
78064	NOTABU
14122	NOTABU
72353	NOTABU
39051	NOTABU
54546	NOTABU
50759	NOTABU
75992	NOTABU
45068	NOTABU
17259	NOTABU
95225	NOTABU
84667	EXP
14574	NOTABU
23784	NOTABU
93119	NOTABU
30115	NOTABU
69281	NOTABU
15322	NOTABU
75089	NOTABU
21379	EXP
43133	NOTABU
52102	NOTABU
59537	NOTABU
44209	NOTABU
96664	NOTABU
12559	NOTABU
61914	NOTABU
32317	NOTABU
94767	NOTABU
64835	NOTABU
41353	NOTABU
52252	EXP
91001	EXP
18495	NOTABU
76680	NOTABU
88013	NOTABU
66349	NOTABU
80561	EXP
16052	NOTABU
49996	NOTABU
77086	NOTABU
10972	NOTABU
69160	NOTABU
28380	NOTABU
40252	NOTABU
39907	NOTABU
16164	NOTABU
52824	NOTABU
77294	EXP
13420	NOTABU
16940	NOTABU
83816	NOTABU
99156	NOTABU
11255	NOTABU
28841	NOTABU
79060	NOTABU
71682	NOTABU
17577	NOTABU
27503	NOTABU
59998	NOTABU
81119	NOTABU
28812	NOTABU
84131	NOTABU
23179	NOTABU
28601	NOTABU
64776	NOTABU
95712	NOTABU
69972	EXP
37115	NOTABU
80696	NOTABU
68163	NOTABU
96789	IMP
68629	NOTABU
66109	NOTABU
19419	NOTABU
32942	NOTABU
74285	NOTABU
77319	IMP
30517	NOTABU
69077	NOTABU
67758	NOTABU
35944	NOTABU
48223	NOTABU
47168	NOTABU
53947	NOTABU
49504	EXP
66291	NOTABU
31229	EXP
75850	NOTABU
88546	IMP
29241	NOTABU
19842	NOTABU
69232	NOTABU
36471	NOTABU
32897	EXP
62072	IMP
95444	NOTABU
51172	NOTABU
62481	EXP
71895	NOTABU
78366	NOTABU
39021	NOTABU
68840	EXP
96837	NOTABU
51815	NOTABU
62023	NOTABU
10253	NOTABU
21367	NOTABU
33797	NOTABU
11160	NOTABU
32916	EXP
47427	NOTABU
87052	NOTABU
29556	NOTABU
18547	IMP
32688	NOTABU
57850	NOTABU
82607	EXP
82339	EXP
98077	NOTABU
62815	NOTABU
34510	IMP
53501	NOTABU
69928	NOTABU
31853	NOTABU
13872	EXP
30791	NOTABU
80385	NOTABU
54292	NOTABU
28985	EXP
52375	NOTABU
74004	EXP
70838	EXP
64577	NOTABU
44448	NOTABU
53928	NOTABU
45337	NOTABU
85707	NOTABU
63292	NOTABU
15991	IMP
25009	NOTABU
90990	NOTABU
65785	NOTABU
38837	IMP
94182	NOTABU
77653	NOTABU
27238	NOTABU
12892	NOTABU
16885	IMP
46581	NOTABU
41517	NOTABU
22717	NOTABU
88539	NOTABU
65786	NOTABU
54437	NOTABU
19514	IMP
57943	NOTABU
66328	NOTABU
34317	IMP
44837	NOTABU
36289	EXP
80570	EXP
43185	NOTABU
86477	NOTABU
67080	NOTABU
96270	NOTABU
44015	EXP
48060	NOTABU
31065	NOTABU
11411	EXP
10133	NOTABU
22128	NOTABU
36518	NOTABU
59559	NOTABU
99618	NOTABU
53309	NOTABU
29497	EXP
84329	NOTABU
50315	NOTABU
97959	NOTABU
66524	NOTABU
97300	EXP
12919	NOTABU
40855	NOTABU
84100	NOTABU
21270	NOTABU
