id	implicit_explicit
86426	IMP
90194	IMP
16820	O
62688	EXP
43605	O
97670	EXP
77444	EXP
52415	IMP
45157	O
13384	EXP
82776	O
42992	O
28414	EXP
54920	O
56392	O
86735	O
95686	O
71446	O
23958	O
28195	IMP
56117	EXP
67757	O
12681	IMP
82904	EXP
63236	O
77665	EXP
83484	O
74932	O
91252	O
25440	IMP
81613	O
82333	O
12609	EXP
13017	O
18129	O
70380	O
12108	EXP
14726	EXP
74358	O
82599	O
40212	O
78367	O
66596	O
70999	O
36026	O
29439	O
74477	O
49845	O
32305	O
77243	O
73205	O
47311	O
48553	O
75689	O
84102	IMP
10607	O
43913	O
98992	EXP
92056	O
33853	IMP
75215	EXP
96218	O
57013	EXP
20883	O
74831	EXP
53264	EXP
28204	O
42024	O
84664	IMP
54842	O
48995	IMP
47153	EXP
76826	O
27645	O
64429	IMP
20943	O
78064	O
14122	O
72353	O
39051	O
54546	O
50759	O
75992	O
45068	IMP
17259	O
95225	O
84667	EXP
14574	O
23784	O
93119	IMP
30115	O
69281	O
15322	O
75089	O
21379	EXP
43133	O
52102	O
59537	O
44209	O
96664	O
12559	O
61914	O
32317	O
94767	O
64835	O
41353	O
52252	EXP
91001	EXP
18495	O
76680	O
88013	O
66349	IMP
80561	EXP
16052	O
49996	O
77086	O
10972	O
69160	O
28380	O
40252	O
39907	IMP
16164	O
52824	O
77294	EXP
13420	O
16940	IMP
83816	O
99156	O
11255	O
28841	IMP
79060	O
71682	O
17577	O
27503	O
59998	IMP
81119	O
28812	EXP
84131	O
23179	O
28601	O
64776	EXP
95712	O
69972	EXP
37115	O
80696	O
68163	O
96789	IMP
68629	IMP
66109	O
19419	O
32942	O
74285	O
77319	IMP
30517	O
69077	O
67758	O
35944	O
48223	O
47168	O
53947	O
49504	EXP
66291	O
31229	EXP
75850	O
88546	IMP
29241	O
19842	O
69232	O
36471	O
32897	EXP
62072	IMP
95444	EXP
51172	O
62481	EXP
71895	O
78366	O
39021	IMP
68840	EXP
96837	O
51815	O
62023	O
10253	O
21367	O
33797	O
11160	O
32916	EXP
47427	O
87052	O
29556	O
18547	IMP
32688	O
57850	O
82607	EXP
82339	EXP
98077	O
62815	O
34510	IMP
53501	IMP
69928	IMP
31853	EXP
13872	EXP
30791	O
80385	O
54292	O
28985	EXP
52375	O
74004	EXP
70838	EXP
64577	O
44448	O
53928	O
45337	O
85707	O
63292	O
15991	IMP
25009	O
90990	O
65785	O
38837	IMP
94182	O
77653	O
27238	O
12892	O
16885	IMP
46581	O
41517	O
22717	O
88539	O
65786	O
54437	O
